PABLO PICASSO
GIOTTO DI BONDONE
LEONARDO DA VINCI
PAUL CEZANNE
REMBRANDT VAN RIJN
DIEGO VELAZQUEZ
WASSILY KANDINSKY
CLAUDE MONET
CARAVAGGIO
JOSEPH MALLORD WILLIAM TURNER
JAN VAN EYCK
ALBERT DÜRER
JACKSON POLLOCK
MICHELANGELO BUONARROTI
PAUL GAUGUIN
FRANCISCO DE GOYA
VINCENT VAN GOGH
ÉDOUARD MANET
MARK ROTHKO
HENRI MATISSE
RAFAEL
JEAN-MICHEL BASQUIAT
EDVARD MUNCH
PIET MONDRIAN
PIERO DELLA FRANCESCA
PETER PAUL RUBENS
ANDY WARHOL
JOAN MIRO
TOMASSO MASACCIO
MARC CHAGALL
GUSTAVE COURBET
TITIAN
NICOLAS POUSSIN
WILLEM DE KOONING
PAUL KLEE
FRANCIS BACON
GUSTAV KLIMT
EUGÈNE DELACROIX
PAOLO UCCELLO
WILLIAM BLAKE
KAZIMIR MALEVICH
ANDREA MANTEGNA
JAN VERMEER
EL GRECO
CASPAR DAVID FRIEDRICH
WINSLOW HOMER
MARCEL DUCHAMP
GIORGIONE
HANS HOLBEIN EL JOVEN
EDGAR DEGAS
FRA ANGELICO
GEORGES SEURAT
JEAN-ANTOINE WATTEAU
SALVADOR DALI
MAX ERNST
TINTORETTO
JASPER JOHNS
SANDRO BOTTICELLI
DAVID HOCKNEY
UMBERTO BOCCIONI
JOACHIM PATINIR
DUCCIO DA BUONISEGNA
ROGER VAN DER WEYDEN
JOHN CONSTABLE
JACQUES-LOUIS DAVID
ARSHILLE GORKY
HIERONYMUS BOSCH
PIETER BRUEGEL THE ELDER
SIMONE MARTINI
FRIDA KAHLO
FREDERICK EDWIN CHURCH
EDWARD HOPPER
LUCIO FONTANA
FRANZ MARC
PIERRE-AUGUSTE RENOIR
JAMES MCNEILL WHISTLER
THEODORE GÉRICAULT
WILLIAM HOGARTH
CAMILLE COROT
GEORGES BRAQUE
HANS MEMLING
GERHARD RICHTER
AMEDEO MODIGLIANI
GEORGES DE LA TOUR
JEAN FRANCOIS MILLET
FRANCISCO DE ZURBARAN
CIMABUE
JAMES ENSOR
RENE MAGRITTE
AMBROGIO LORENZETTI
EL LISSITZKY
EGON SCHIELE
DANTE GABRIEL ROSSETTI
TAKASHI MURAKAMI
CLAUDIO DE LORENA
ROY LICHTENSTEIN
THOMAS GAINSBOROUGH
GUSTAVE MOREAU
GIORGIO DE CHIRICO
FERNAND LEGER
JEAN-AUGUSTE-DOMINIQUE INGRES
